Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,1.231300,1.234650,1.226700,1.227850,1.227850,158
2018-04-04,1.227950,1.232500,1.227000,1.229100,1.229100,1117
2018-04-05,1.229700,1.229700,1.222750,1.224400,1.224400,1956
2018-04-06,1.225600,1.229700,1.222700,1.229200,1.229200,1917
2018-04-08,null,null,null,null,null,null
2018-04-09,1.228200,1.233450,1.227300,1.232700,1.232700,463
2018-04-10,1.233000,1.237600,1.231000,1.236550,1.236550,573
2018-04-11,1.236050,1.240000,1.235150,1.236700,1.236700,1268
2018-04-12,1.236950,1.237500,1.230850,1.233150,1.233150,1630
2018-04-13,1.233100,1.233800,1.231850,1.233300,1.233300,1512
2018-04-15,null,null,null,null,null,null
2018-04-16,1.234800,1.239250,1.234800,1.238750,1.238750,494
2018-04-17,1.240300,1.243150,1.236000,1.239050,1.239050,530
2018-04-18,1.239750,1.241850,1.236500,1.239950,1.239950,980
2018-04-19,1.239500,1.240850,1.235700,1.235700,1.235700,1698
2018-04-20,1.236450,1.237150,1.227150,1.230150,1.230150,2234
2018-04-22,null,null,null,null,null,null
2018-04-23,1.229950,1.230350,1.222000,1.222250,1.222250,4554
2018-04-24,1.222500,1.226200,1.220000,1.225400,1.225400,1652
2018-04-25,1.224750,1.224750,1.217750,1.219350,1.219350,601
2018-04-26,1.219000,1.222150,1.211450,1.211950,1.211950,817
2018-04-27,1.211800,1.214200,1.207000,1.213350,1.213350,3205
2018-04-29,null,null,null,null,null,null
2018-04-30,1.213200,1.214450,1.207800,1.209250,1.209250,2893
2018-05-01,1.208800,1.208800,1.199700,1.200550,1.200550,916
2018-05-02,1.200350,1.203600,1.194800,1.199550,1.199550,1914
2018-05-03,1.198400,1.201300,1.196450,1.200000,1.200000,4293
2018-05-04,1.199050,1.199600,1.192400,1.196950,1.196950,4701
2018-05-06,null,null,null,null,null,null
2018-05-07,1.197600,1.197600,1.190400,1.192950,1.192950,3311
2018-05-08,1.192950,1.193250,1.184500,1.186150,1.186150,675
2018-05-09,1.186500,1.189200,1.182750,1.186550,1.186550,3174
2018-05-10,1.186900,1.194550,1.185550,1.192750,1.192750,2906
2018-05-11,1.190900,1.196800,1.189300,1.194400,1.194400,8251
2018-05-13,null,null,null,null,null,null
2018-05-14,1.194400,1.199550,1.194400,1.198250,1.198250,1956
2018-05-15,1.195700,1.196600,1.184800,1.187550,1.187550,201921
2018-05-16,1.186700,1.188150,1.179000,1.182800,1.182800,331653
2018-05-17,1.183500,1.186200,1.180100,1.182250,1.182250,381691
2018-05-18,1.182000,1.184600,1.177250,1.179700,1.179700,283482
2018-05-20,null,null,null,null,null,null
2018-05-21,1.178900,1.181900,1.173950,1.179500,1.179500,257054
2018-05-22,1.181550,1.185200,1.177900,1.180000,1.180000,265071
2018-05-23,1.179800,1.181100,1.169600,1.171900,1.171900,291627
2018-05-24,1.171900,1.176800,1.170900,1.174550,1.174550,430841
2018-05-25,1.173800,1.175200,1.166300,1.167950,1.167950,308535
2018-05-27,null,null,null,null,null,null
2018-05-29,1.164200,1.165550,1.152600,1.154800,1.154800,363578
2018-05-30,1.155800,1.169150,1.153350,1.166800,1.166800,731721
2018-05-31,1.167950,1.173800,1.165300,1.170050,1.170050,504707
2018-06-01,1.170500,1.172950,1.162800,1.167500,1.167500,411583
2018-06-03,null,null,null,null,null,null
2018-06-04,1.167300,1.175550,1.167200,1.170900,1.170900,347073
2018-06-05,1.170600,1.174200,1.166250,1.172400,1.172400,250314
2018-06-06,1.172600,1.180500,1.172300,1.177750,1.177750,278736
2018-06-07,1.178500,1.184800,1.178150,1.181450,1.181450,328571
2018-06-08,1.180500,1.181700,1.173300,1.177650,1.177650,299866
2018-06-10,null,null,null,null,null,null
2018-06-11,1.177900,1.182650,1.177700,1.179300,1.179300,270952
2018-06-12,1.178600,1.181450,1.173750,1.175450,1.175450,228004
2018-06-13,1.174950,1.180550,1.172950,1.177750,1.177750,327959
2018-06-14,1.179600,1.185800,1.156400,1.159350,1.159350,457432
2018-06-15,1.157450,1.162750,1.154450,1.160750,1.160750,570616
2018-06-17,null,null,null,null,null,null
2018-06-18,1.159650,1.162300,1.156600,1.160000,1.160000,85077
2018-06-19,1.164450,1.166800,1.155550,1.159850,1.159850,976
2018-06-20,1.160700,1.161950,1.157450,1.160850,1.160850,1041
2018-06-21,1.159700,1.165350,1.153650,1.164300,1.164300,1368
2018-06-22,1.162950,1.169350,1.162550,1.168250,1.168250,1678
2018-06-24,null,null,null,null,null,null
2018-06-25,1.168700,1.172900,1.164800,1.172250,1.172250,1386
2018-06-26,1.172050,1.173900,1.165500,1.166800,1.166800,2670
2018-06-27,1.166500,1.168800,1.155900,1.157350,1.157350,1107
2018-06-28,1.157500,1.161000,1.154200,1.156900,1.156900,2625
2018-06-29,1.157500,1.170000,1.157500,1.168150,1.168150,1843
2018-07-01,null,null,null,null,null,null
2018-07-02,1.168100,1.168100,1.160300,1.162000,1.162000,4232
2018-07-03,null,null,null,null,null,null
2018-07-05,1.166600,1.172600,1.166400,1.168700,1.168700,0
2018-07-06,1.170150,1.176850,1.170000,1.175000,1.175000,2540
2018-07-08,null,null,null,null,null,null
2018-07-09,1.175350,1.179250,1.174900,1.175400,1.175400,1731
2018-07-10,1.176250,1.176250,1.169700,1.175000,1.175000,1251
2018-07-11,1.173200,1.176200,1.167400,1.167700,1.167700,2831
2018-07-12,1.167550,1.169000,1.165350,1.167250,1.167250,1600
2018-07-13,1.166450,1.168050,1.161800,1.167800,1.167800,690
2018-07-15,null,null,null,null,null,null
2018-07-16,1.168200,1.171950,1.168200,1.171650,1.171650,1642
2018-07-17,1.173450,1.176500,1.168000,1.168600,1.168600,288
2018-07-18,1.167450,1.168000,1.162500,1.166950,1.166950,334
2018-07-19,1.166300,1.169400,1.160000,1.166350,1.166350,598
2018-07-20,1.166300,1.175500,1.165500,1.174350,1.174350,1296
2018-07-22,null,null,null,null,null,null
2018-07-23,1.175750,1.177000,1.170500,1.170700,1.170700,902
2018-07-24,1.171050,1.173300,1.167200,1.170000,1.170000,140
2018-07-25,1.169800,1.175050,1.168750,1.171650,1.171650,432
2018-07-26,1.174200,1.175150,1.165800,1.165850,1.165850,1236
2018-07-27,1.166250,1.167150,1.163550,1.166950,1.166950,507
2018-07-29,null,null,null,null,null,null
2018-07-30,1.167050,1.172700,1.166600,1.172100,1.172100,107
2018-07-31,1.171700,1.175400,1.170450,1.170800,1.170800,685
2018-08-01,1.169450,1.170500,1.166750,1.167300,1.167300,1074
2018-08-02,1.167150,1.167300,1.159000,1.159400,1.159400,311
2018-08-03,1.159650,1.161250,1.157050,1.158450,1.158450,507
2018-08-05,null,null,null,null,null,null
2018-08-06,1.156850,1.157300,1.154000,1.156200,1.156200,797
2018-08-07,1.156250,1.161100,1.155700,1.159900,1.159900,929
2018-08-08,1.160400,1.162900,1.158700,1.162300,1.162300,1937
2018-08-09,1.161150,1.161600,1.152800,1.154400,1.154400,1311
2018-08-10,1.152300,1.153400,1.139700,1.140050,1.140050,2381
2018-08-12,null,null,null,null,null,null
2018-08-13,1.138800,1.142800,1.136550,1.142150,1.142150,3566
2018-08-14,1.143200,1.145700,1.135700,1.136600,1.136600,325193
2018-08-15,1.137100,1.138150,1.132750,1.137250,1.137250,263133
2018-08-16,1.136800,1.143300,1.135950,1.138950,1.138950,289694
2018-08-17,1.139650,1.146850,1.138950,1.146750,1.146750,305497
2018-08-19,null,null,null,null,null,null
2018-08-20,1.146100,1.150800,1.141650,1.149000,1.149000,251028
2018-08-21,1.151000,1.162400,1.150700,1.159450,1.159450,214346
2018-08-22,1.159400,1.164450,1.157400,1.160950,1.160950,317259
2018-08-23,1.161500,1.161900,1.154850,1.155550,1.155550,248075
2018-08-24,1.156050,1.165800,1.155250,1.164350,1.164350,222981
2018-08-26,null,null,null,null,null,null
2018-08-27,1.164300,1.171150,1.161200,1.169600,1.169600,240625
2018-08-28,1.169700,1.175050,1.167950,1.171100,1.171100,192624
2018-08-29,1.170800,1.172650,1.166800,1.171450,1.171450,232968
2018-08-30,1.172150,1.173150,1.165400,1.167700,1.167700,247248
2018-08-31,1.167800,1.170300,1.159650,1.160900,1.160900,246754
2018-09-02,null,null,null,null,null,null
2018-09-04,1.160900,1.163950,1.154050,1.159050,1.159050,266733
2018-09-05,1.159200,1.165050,1.155200,1.163350,1.163350,347935
2018-09-06,1.163950,1.166700,1.161300,1.163350,1.163350,300428
2018-09-07,1.163150,1.165600,1.155700,1.157150,1.157150,238352
2018-09-09,null,null,null,null,null,null
2018-09-10,1.155550,1.162250,1.153050,1.160250,1.160250,291942
2018-09-11,1.159950,1.164900,1.157050,1.159000,1.159000,218940
2018-09-12,1.160450,1.165400,1.157400,1.163650,1.163650,331638
2018-09-13,1.163200,1.170300,1.161050,1.169350,1.169350,345733
2018-09-14,1.169050,1.172250,1.162050,1.163350,1.163350,447496
2018-09-16,null,null,null,null,null,null
2018-09-17,1.162550,1.169400,1.161850,1.169150,1.169150,126923
2018-09-18,1.171050,1.174550,1.167750,1.169100,1.169100,2399
2018-09-19,1.170150,1.173500,1.167950,1.169700,1.169700,1297
2018-09-20,1.169450,1.180550,1.169450,1.179700,1.179700,2108
2018-09-21,1.180000,1.182100,1.175600,1.176750,1.176750,1936
2018-09-23,null,null,null,null,null,null
2018-09-24,1.176700,1.183200,1.174450,1.177800,1.177800,1976
2018-09-25,1.176800,1.181050,1.175400,1.178500,1.178500,2636
2018-09-26,1.178350,1.181100,1.174600,1.177850,1.177850,13867
2018-09-27,1.176550,1.176550,1.165550,1.167200,1.167200,1554
2018-09-28,1.165400,1.166100,1.158500,1.162400,1.162400,1713
2018-09-30,null,null,null,null,null,null
2018-10-01,1.161800,1.163600,1.157650,1.158700,1.158700,1332
2018-10-02,1.158700,1.159100,1.151700,1.155550,1.155550,784
2018-10-03,1.155900,1.160050,1.148650,1.152750,1.152750,7122
2018-10-04,1.148750,1.154400,1.147050,1.152200,1.152200,1172
2018-10-05,1.152150,1.155650,1.149250,1.153250,1.153250,4179
2018-10-07,null,null,null,null,null,null
2018-10-08,1.153100,1.153150,1.146800,1.149500,1.149500,1169
2018-10-09,1.149800,1.150400,1.143750,1.150300,1.150300,908
2018-10-10,1.151800,1.154750,1.148950,1.152950,1.152950,1678
2018-10-11,1.154200,1.160000,1.154000,1.159600,1.159600,4966
2018-10-12,1.159400,1.160400,1.154400,1.156450,1.156450,14753
2018-10-14,null,null,null,null,null,null
2018-10-15,1.154900,1.159000,1.154850,1.159000,1.159000,2947
2018-10-16,1.161600,1.165250,1.159950,1.160850,1.160850,1922
2018-10-17,1.160200,1.161000,1.152700,1.153600,1.153600,2714
2018-10-18,1.152500,1.155000,1.147800,1.149200,1.149200,11039
2018-10-19,1.148050,1.156000,1.146200,1.153600,1.153600,3021
2018-10-21,null,null,null,null,null,null
2018-10-22,1.154050,1.157200,1.148350,1.149200,1.149200,2157
2018-10-23,1.149100,1.151600,1.146800,1.149200,1.149200,1428
2018-10-24,1.149450,1.149750,1.140500,1.141100,1.141100,2838
2018-10-25,1.141750,1.145200,1.138000,1.138300,1.138300,2256
2018-10-26,1.139250,1.144050,1.135800,1.142950,1.142950,3794
2018-10-28,null,null,null,null,null,null
2018-10-29,1.141900,1.143250,1.138400,1.140950,1.140950,2072
2018-10-30,1.139200,1.140400,1.136000,1.136000,1.136000,1325
2018-10-31,1.136250,1.137200,1.132200,1.133100,1.133100,705
2018-11-01,1.132800,1.143700,1.132800,1.142250,1.142250,1012
2018-11-02,1.141450,1.146750,1.138950,1.139800,1.139800,2735
2018-11-04,null,null,null,null,null,null
2018-11-05,1.141100,1.143100,1.136900,1.143100,1.143100,2848
2018-11-06,1.141900,1.144500,1.140700,1.142400,1.142400,1822
2018-11-07,1.145100,1.151800,1.141100,1.146550,1.146550,2670
2018-11-08,1.143600,1.144800,1.136350,1.136350,1.136350,1677
2018-11-09,1.137200,1.137300,1.133200,1.134250,1.134250,1306
2018-11-11,null,null,null,null,null,null
2018-11-12,1.132400,1.133600,1.123000,1.124650,1.124650,851
2018-11-13,1.124050,1.128550,1.123450,1.127350,1.127350,622
2018-11-14,1.130200,1.134200,1.127000,1.134200,1.134200,1602
2018-11-15,1.131700,1.135250,1.129500,1.135250,1.135250,2605
2018-11-16,1.132500,1.141700,1.132500,1.141350,1.141350,3015
2018-11-18,null,null,null,null,null,null
2018-11-19,1.140800,1.144750,1.140800,1.144750,1.144750,1053
